f,Z_re,Z_im)
1000.00,1.3498,-159.1634
672.34,1.3498,-236.7251
452.04,1.3499,-352.0890
303.92,1.3499,-523.6772
204.34,1.3499,-778.8903
137.38,1.3499,-1158.4827
92.37,1.3499,-1723.0707
62.10,1.3499,-2562.8121
41.75,1.3499,-3811.8036
28.07,1.3499,-5669.4938
18.87,1.3499,-8432.5334
12.69,1.3499,-12542.1462
8.53,1.3499,-18654.5875
5.74,1.3499,-27745.9400
3.86,1.3499,-41267.9823
2.59,1.3499,-61380.0204
1.74,1.3499,-91293.7027
1.17,1.3499,-135785.8810
0.79,1.3499,-201961.4163
0.53,1.3499,-300387.7380
0.36,1.3499,-446782.3352
0.24,1.3499,-664522.6477
0.16,1.3499,-988379.1605
0.11,1.3499,-1470067.8271
0.07,1.3499,-2186508.4805
0.05,1.3499,-3252107.9961
0.03,1.3499,-4837029.6812
0.02,1.3499,-7194366.2893
0.01,1.3499,-10700555.8611
0.01,1.3499,-15915494.3092
